timestamp,machine_id,machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,failure_within_24h,failure_type,estimated_repair_cost,rul_normalized,health_score
2024-01-01 00:00:00,1,CNC,0.81,49.51,5.1,23.6,860.9,idle,273.8,13.9,61.0,0,none,0,0.3816434995911693,0.22898609975470155
2024-01-01 00:03:00,1,CNC,0.75,40.58,5.3,23.6,899.6,idle,273.85,10.2,60.95,0,none,0,0.3821545380212592,0.2292927228127555
2024-01-01 00:21:00,1,CNC,0.71,49.7,10.434999999999999,21.3,862.7,idle,274.15,13.6,60.65,0,none,0,0.3852207686017989,0.23113246116107933
2024-01-01 00:45:00,1,CNC,0.76,43.04,4.79,22.6,870.4,idle,274.55,13.4,60.25,0,none,0,0.3893090760425184,0.23358544562551103
2024-01-01 00:54:00,1,CNC,0.88,41.39,4.44,22.2,881.9,idle,274.7,10.8,60.1,0,none,0,0.3908421913327882,0.2345053147996729
2024-01-01 01:23:00,1,CNC,0.94,42.0,4.77,23.6,853.2,idle,275.18,16.1,59.62,0,none,0,0.3957481602616517,0.23744889615699102
2024-01-01 01:47:00,1,CNC,0.88,41.71,4.1,25.7,917.6,idle,275.58,10.8,59.22,0,none,0,0.39983646770237125,0.23990188062142273
2024-01-01 01:55:00,1,CNC,2.93,54.57,10.13,78.0,2932.1,normal,275.72,11.4,59.08,0,none,0,0.40126737530662304,0.2407604251839738
2024-01-01 01:59:00,1,CNC,0.74,44.95,4.05,25.5,868.1,idle,275.78,11.6,59.02,0,none,0,0.40188062142273095,0.24112837285363856
2024-01-01 02:12:00,1,CNC,0.9,43.12,4.78,23.3,862.9,idle,276.0,16.1,58.8,0,none,0,0.40412919051512675,0.24247751430907605
2024-01-01 02:37:00,1,CNC,0.99,47.75,5.41,25.4,891.9,idle,276.42,9.2,58.38,0,none,0,0.40842191332788225,0.24505314799672934
2024-01-01 02:51:00,1,CNC,2.07,40.88,4.29,20.3,872.8,idle,276.65,10.9,58.15,0,none,0,0.410772690106296,0.2464636140637776
2024-01-01 03:13:00,1,CNC,0.82,42.71,5.24,22.1,869.7,idle,277.02,16.6,57.78,0,none,0,0.4145543744889616,0.24873262469337695
2024-01-01 03:33:00,1,CNC,0.86,41.41,5.2,20.4,919.1,idle,277.35,8.7,57.45,0,none,0,0.41792722812755523,0.25075633687653315
2024-01-01 03:56:00,1,CNC,0.93,41.99,4.01,24.9,899.5,idle,277.73,10.9,57.07,0,none,0,0.4218111201962388,0.25308667211774327
2024-01-01 04:00:00,1,CNC,2.82,61.57,9.98,65.6,2834.8,normal,277.8,16.7,57.0,0,none,0,0.4225265739983647,0.2535159443990188
2024-01-01 04:14:00,1,CNC,0.96,46.23,4.5,20.4,871.8,idle,278.03,14.4,56.77,0,none,0,0.42487735077677835,0.254926410466067
2024-01-01 04:27:00,1,CNC,0.8,47.3,4.96,25.3,883.1,idle,278.25,11.6,56.55,0,none,0,0.42712591986917425,0.25627555192150453
2024-01-01 04:50:00,1,CNC,0.74,47.13,5.14,23.4,904.0,idle,278.63,17.4,56.17,0,none,0,0.4310098119378577,0.2586058871627146
